id,kanji,reading,char,on,kun,strokes
2049,殊に,ことに,殊,シュ,こと,10
2050,強いて,しいて,強,キョウ・ゴウ,つよ.い・つよ.まる・つよ.める・し.いる・こわ.い,11
2051,到底,とうてい,到,トウ,いた.る,8
2051,到底,とうてい,底,テイ,そこ,8
2054,時折,ときおり,時,ジ,とき・-どき,10
2054,時折,ときおり,折,セツ・シャク,お.る・おり・お.り・-お.り・お.れる,7
2055,突如,とつじょ,突,トツ・カ,つ.く,8
2055,突如,とつじょ,如,ジョ・ニョ,ごと.し,6
2056,長々,ながなが,長,チョウ,なが.い・おさ,8
2056,長々,ながなが,々,,,0
2057,何だか,なんだか,何,カ,なに・なん・なに-・なん-,7
2058,日夜,にちや,日,ニチ・ジツ,ひ・-び・-か,4
2058,日夜,にちや,夜,ヤ,よ・よる,8
2059,一概に,いちがいに,一,イチ・イツ,ひと-・ひと.つ,1
2059,一概に,いちがいに,概,ガイ,おおむ.ね,14
2060,一挙に,いっきょに,一,イチ・イツ,ひと-・ひと.つ,1
2060,一挙に,いっきょに,挙,キョ,あ.げる・あ.がる・こぞ.る,10
2061,一心,いっしん,一,イチ・イツ,ひと-・ひと.つ,1
2061,一心,いっしん,心,シン,こころ・-ごころ,4
2063,今更,いまさら,今,コン・キン,いま,4
2063,今更,いまさら,更,コウ,さら・さら.に・ふ.ける・ふ.かす,7
2064,未だ,いまだ,未,ミ・ビ,いま.だ・ま.だ・ひつじ,5
2065,嫌々,いやいや,嫌,ケン・ゲン,きら.う・きら.い・いや,13
2065,嫌々,いやいや,々,,,0
2066,生まれつき,うまれつき,生,セイ・ショウ,い.きる・い.かす・い.ける・う.まれる・うま.れる・う.まれ・うまれ・う.む・お.う・は.える・は.やす・き・なま・なま-・な.る・な.す・む.す・-う,5
2068,遅くとも,おそくとも,遅,チ,おく.れる・おく.らす・おそ.い,12
2070,自ずから,おのずから,自,ジ・シ,みずか.ら・おの.ずから・おの.ずと,6
2071,隔週,かくしゅう,隔,カク,へだ.てる・へだ.たる,13
2071,隔週,かくしゅう,週,シュウ,,11
2075,予て,かねて,予,ヨ・シャ,あらかじ.め,4
