kanji,reading,level,pos,meaning_en
現像,げんぞう,,n,"development (of film)"
原則,げんそく,,n,"principle"
見地,けんち,,n,"point of view"
現地,げんち,,n,"actual place"
限定,げんてい,,n,"limit"
原点,げんてん,,n,"starting point"
原典,げんてん,,n,"original (text)"
原爆,げんばく,,n,"atomic bomb"
原文,げんぶん,,n,"original text"
厳密,げんみつ,,adj-na,"strict"
賢明,けんめい,,adj-na,"wise"
倹約,けんやく,,n,"thrift"
原油,げんゆ,,n,"crude oil"
兼用,けんよう,,n,"multi-use"
権力,けんりょく,,n,"(political) power"
言論,げんろん,,n,"(one's) speech"
故～,こ～,,unknown,""
語彙,ごい,,n,"vocabulary"
恋する,こいする,,vs-i,"to fall in love (with)"
甲,こう,,n,"carapace"
～光,～こう,,unknown,""
好意,こうい,,n,"kindness"
行為,こうい,,n,"act"
合意,ごうい,,n,"(coming to an) agreement"
工学,こうがく,,n,"engineering"
抗議,こうぎ,,n,"protest"
合議,ごうぎ,,n,"consultation"
皇居,こうきょ,,n,"Imperial Palace (of Japan)"
好況,こうきょう,,n,"prosperous (economic) conditions"
鉱業,こうぎょう,,n,"mining industry"
興業,こうぎょう,,n,"promotion of industry"
高原,こうげん,,n,"tableland"
交互,こうご,,adj-no,"alternate"
煌々と,こうこうと,,unknown,""
考古学,こうこがく,,n,"archaeology"
工作,こうさく,,n,"handicraft"
耕作,こうさく,,n,"cultivation"
鉱山,こうざん,,n,"mine (ore)"
講習,こうしゅう,,n,"short course"
口述,こうじゅつ,,n,"dictation"
控除,こうじょ,,n,"subtraction"
交渉,こうしょう,,n,"negotiations"
高尚,こうしょう,,adj-na,"high"
向上,こうじょう,,n,"elevation"
行進,こうしん,,n,"march"
香辛料,こうしんりょう,,n,"spice"
降水,こうすい,,n,"rainfall"
洪水,こうずい,,n,"flood"
合成,ごうせい,,n,"composition"
公然,こうぜん,,adj-no,"open"
抗争,こうそう,,n,"rivalry"
構想,こうそう,,n,"plan"
後退,こうたい,,n,"retreat"
光沢,こうたく,,n,"brilliance"
公団,こうだん,,n,"public corporation"
好調,こうちょう,,adj-na,"favourable"
口頭,こうとう,,adj-no,"oral"
講読,こうどく,,n,"reading"
購読,こうどく,,n,"buying and reading (book, magazine, etc.)"
購入,こうにゅう,,n,"purchase"
公認,こうにん,,n,"official recognition"
光熱費,こうねつひ,,n,"cost of fuel and lighting"
購買,こうばい,,n,"procurement"
好評,こうひょう,,n,"favorable reception"
交付,こうふ,,n,"delivery"
