殊に,ことに,N1,adv,"""especially"""
強いて,しいて,N1,adv,"""by force"""
到底,とうてい,N1,adv,"""(cannot) possibly"""
どうにか,どうにか,N1,adv,"""in some way or other"""
どうやら,どうやら,N1,adv,"""possibly"""
時折,ときおり,N1,adv,"""sometimes"""
突如,とつじょ,N1,adv,"""suddenly"""
長々,ながなが,N1,adv-to,"""for a long time"""
何だか,なんだか,N1,adv,"""(a) little"""
日夜,にちや,N1,adv,"""day and night"""
一概に,いちがいに,N1,adv,"""unconditionally"""
一挙に,いっきょに,N1,adv,"""at a stroke"""
一心,いっしん,N1,adv,"""one mind"""
いっそ,いっそ,N1,adv,"""rather"""
今更,いまさら,N1,adv,"""now (when it is already much too late)"""
未だ,いまだ,N1,adv,"""still"""
嫌々,いやいや,N1,adv,"""unwillingly"""
生まれつき,うまれつき,N1,adv,"""by nature"""
うんざり,うんざり,N1,adv,"""tedious"""
遅くとも,おそくとも,N1,adv,"""at the latest"""
おどおど,おどおど,N1,adv,"""timidly"""
自ずから,おのずから,N1,adv,"""naturally"""
隔週,かくしゅう,N1,adv,"""every other week"""
がっくり,がっくり,N1,adv,"""heartbroken"""
がっしり,がっしり,N1,adv,"""firmly"""
がっちり,がっちり,N1,adv,"""solid"""
予て,かねて,N1,adv,"""previously"""
代る代る,かわるがわる,N1,adv,"""alternately"""
元来,がんらい,N1,adv,"""originally"""
きちっと,きちっと,N1,adv,"""exactly"""
きっかり,きっかり,N1,adv,"""exactly"""
きっちり,きっちり,N1,adv,"""exactly"""
きっぱり,きっぱり,N1,adv,"""clearly"""
極めて,きわめて,N1,adv,"""exceedingly"""
くっきり,くっきり,N1,adv,"""clearly (standing out)"""
ぐっと,ぐっと,N1,adv,"""suddenly"""
てんで,てんで,N1,adv,"""(not) at all"""
敢えて,あえて,N1,adv,"""purposely (of something needless"
悪しからず,あしからず,N1,adv,"""don't get me wrong"
あっさり,あっさり,N1,adv,"""easily"""
予め,あらかじめ,N1,adv,"""beforehand"""
案の定,あんのじょう,N1,adv,"""as expected"""
いざ,いざ,N1,adv,"""now"""
しょっちゅう,しょっちゅう,N1,adv,"""always"""
ずばり,ずばり,N1,adv,"""decisively"""
ずらっと,ずらっと,N1,adv,"""in a line"""
ずるずる,ずるずる,N1,adv,"""(dragging a large or heavy item) slowly"""
すんなり,すんなり,N1,adv-to,"""slim"""
即座に,そくざに,N1,adv,"""immediately"""
大概,たいがい,N1,adv,"""generally"""
断然,だんぜん,N1,adv,"""firmly"""
ちょくちょく,ちょくちょく,N1,adv,"""often"""
ちらっと,ちらっと,N1,adv,"""at a glance"""
努めて,つとめて,N1,adv,"""as much as possible"""
てっきり,てっきり,N1,adv,"""surely"""
手元,てもと,N1,adv,"""at hand"""
じっくり,じっくり,N1,adv,"""(slowly and) carefully"""
ふらふら,ふらふら,N1,adv,"""unsteadily (e.g. on one's feet)"""
ぶらぶら,ぶらぶら,N1,adv,"""dangling"""
ぼつぼつ,ぼつぼつ,N1,adv,"""gradually"""
誠に,まことに,N1,adv,"""indeed"""
丸ごと,まるごと,N1,adv,"""in its entirety"""
無闇に,むやみに,N1,adv,"""thoughtlessly"""
無論,むろん,N1,adv,"""of course"""
専ら,もっぱら,N1,adv,"""wholly"""
やけに,やけに,N1,adv,"""awfully"""
余程,よほど,N1,adv,"""very"""
甚だ,はなはだ,N1,adv,"""very"""
日頃,ひごろ,N1,adv,"""usually"""
ひょっと,ひょっと,N1,adv,"""possibly"""
