故～,こ～,N1,unknown,""""""
～光,～こう,N1,unknown,""""""
煌々と,こうこうと,N1,unknown,""""""
ございます (かん),ございます (かん),N1,unknown,""""""
こじれる,こじれる,N1,unknown,""""""
こす (みずを～),こす (みずを～),N1,unknown,""""""
こたつ,こたつ,N1,unknown,""""""
こだわる,こだわる,N1,unknown,""""""
こつ (をつかむ),こつ (をつかむ),N1,unknown,""""""
ことごとく,ことごとく,N1,unknown,""""""
ごまかす,ごまかす,N1,unknown,""""""
ごらんなさい (かん),ごらんなさい (かん),N1,unknown,""""""
コンタクト (レンズ),コンタクト (レンズ),N1,unknown,""""""
さえずる,さえずる,N1,unknown,""""""
さきに (いぜん),さきに (いぜん),N1,unknown,""""""
摩する,さする,N1,unknown,""""""
さぞ (さぞや。さぞかし),さぞ (さぞや。さぞかし),N1,unknown,""""""
さっと,さっと,N1,unknown,""""""
さっぱりする,さっぱりする,N1,unknown,""""""
さほど,さほど,N1,unknown,""""""
様,さま,N1,suf,"""Mr"""
さも,さも,N1,unknown,""""""
さらう (こどもを～),さらう (こどもを～),N1,unknown,""""""
サンキュー,サンキュー,N1,int,"""thank you"""
ジーパン,ジーパン,N1,unknown,""""""
しかしながら,しかしながら,N1,unknown,""""""
しきたり,しきたり,N1,unknown,""""""
けがらわしい,けがらわしい,N1,unknown,""""""
けなす,けなす,N1,unknown,""""""
堂々,どうどう,N1,adj-t,"""magnificent"""
とかく,とかく,N1,unknown,""""""
とがめる,とがめる,N1,unknown,""""""
とぎれる,とぎれる,N1,unknown,""""""
とげ (をさす),とげ (をさす),N1,unknown,""""""
～どころか,～どころか,N1,unknown,""""""
とっさに,とっさに,N1,unknown,""""""
とって,とって,N1,unknown,""""""
とぼける,とぼける,N1,unknown,""""""
とりあえず,とりあえず,N1,unknown,""""""
副,とりわけ,N1,unknown,""""""
とろける,とろける,N1,unknown,""""""
とんだ,とんだ,N1,unknown,""""""
乃至,ないし,N1,conj,"""from ... to"""
なおさら,なおさら,N1,unknown,""""""
なにとぞ,なにとぞ,N1,unknown,""""""
なにより,なにより,N1,unknown,""""""
並びに,ならびに,N1,conj,"""and (also)"""
なるたけ,なるたけ,N1,unknown,""""""
～なんか,～なんか,N1,unknown,""""""
なんだかんだ,なんだかんだ,N1,unknown,""""""
なんなり,なんなり,N1,unknown,""""""
にきび,にきび,N1,unknown,""""""
にも関わらず,にもかかわらず,N1,exp,"""in spite of"""
ニュー,ニュー,N1,adj-f,"""new"""
ねじまわし,ねじまわし,N1,unknown,""""""
ねだる,ねだる,N1,unknown,""""""
のどか,のどか,N1,unknown,""""""
～派,～は,N1,unknown,""""""
いたわる,いたわる,N1,unknown,""""""
いびき,いびき,N1,unknown,""""""
いやに,いやに,N1,unknown,""""""
いやらしい,いやらしい,N1,unknown,""""""
うっとうしい,うっとうしい,N1,unknown,""""""
うつむく,うつむく,N1,unknown,""""""
うぬぼれ,うぬぼれ,N1,unknown,""""""
云々,うんぬん,N1,exp,"""and so on"""
～営,～えい,N1,unknown,""""""
於いて,おいて,N1,exp,"""at (a time or place)"""
おおい (かん),おおい (かん),N1,unknown,""""""
おおげさ,おおげさ,N1,unknown,""""""
おおまかな,おおまかな,N1,unknown,""""""
おごる (ゆうしょくを～),おごる (ゆうしょくを～),N1,unknown,""""""
おだてる,おだてる,N1,unknown,""""""
おびただしい,おびただしい,N1,unknown,""""""
おまけ,おまけ,N1,unknown,""""""
おむつ,おむつ,N1,unknown,""""""
及び,および,N1,conj,"""and"""
俺,おれ,N1,pn,"""I"""
おろそか,おろそか,N1,unknown,""""""
おんぶ,おんぶ,N1,unknown,""""""
我,が～,N1,unknown,""""""
～界,～かい,N1,unknown,""""""
～街,～がい,N1,unknown,""""""
かかと,かかと,N1,unknown,""""""
かく (はじを),かく (はじを),N1,unknown,""""""
～画,～かく,N1,unknown,""""""
掛～,かけ～,N1,unknown,""""""
～掛け,～かけ,N1,unknown,""""""
かさばる,かさばる,N1,unknown,""""""
かさむ,かさむ,N1,unknown,""""""
片～,かた～,N1,unknown,""""""
且つ,かつ,N1,conj,"""and"""
かつて,かつて,N1,unknown,""""""
かなわない,かなわない,N1,unknown,""""""
かぶれる,かぶれる,N1,unknown,""""""
かりに,かりに,N1,unknown,""""""
かろうじて,かろうじて,N1,unknown,""""""
兆,きざし,N1,unknown,""""""
きしむ,きしむ,N1,unknown,""""""
来る,きたる,N1,adj-pn,"""next (e.g. """"next April"""")"""
きまりわるい,きまりわるい,N1,unknown,""""""
強,きょう,N1,suf,"""a little over"""
～狂,～きょう,N1,unknown,""""""
きらびやか,きらびやか,N1,unknown,""""""
～きり,～きり,N1,unknown,""""""
くぐる,くぐる,N1,unknown,""""""
くじ (～をひく),くじ (～をひく),N1,unknown,""""""
くじびき,くじびき,N1,unknown,""""""
くすぐったい,くすぐったい,N1,unknown,""""""
当～,とう～,N1,unknown,""""""
あくどい,あくどい,N1,unknown,""""""
あざ,あざ,N1,unknown,""""""
あせる (こえが～),あせる (こえが～),N1,unknown,""""""
あつらえる,あつらえる,N1,unknown,""""""
～宛,～あて,N1,unknown,""""""
ありのまま,ありのまま,N1,unknown,""""""
ありふれる,ありふれる,N1,unknown,""""""
アルカリ,アルカリ,N1,unknown,""""""
～合せ,～あわせ,N1,unknown,""""""
イェス,イェス,N1,int,"""yes"""
いかに,いかに,N1,unknown,""""""
いかにも,いかにも,N1,unknown,""""""
"""(花を〜) 生ける","活ける""",N1,unknown,""""""
いじる,いじる,N1,unknown,""""""
いたって,いたって,N1,unknown,""""""
～署,～しょ,N1,unknown,""""""
～症,～しょう,N1,unknown,""""""
～証,～しょう,N1,unknown,""""""
～嬢,～じょう,N1,unknown,""""""
～心,～しん,N1,unknown,""""""
すがすがしい,すがすがしい,N1,unknown,""""""
すくう (みずを～),すくう (みずを～),N1,unknown,""""""
ずぶぬれ,ずぶぬれ,N1,unknown,""""""
すみやか,すみやか,N1,unknown,""""""
すれちがい,すれちがい,N1,unknown,""""""
整然,せいぜん,N1,adj-t,"""orderly"""
そこら,そこら,N1,unknown,""""""
そらす,そらす,N1,unknown,""""""
そり (～にのる),そり (～にのる),N1,unknown,""""""
それゆえ,それゆえ,N1,unknown,""""""
たくましい,たくましい,N1,unknown,""""""
だったら,だったら,N1,conj,"""if it's the case"""
だと,だと,N1,unknown,""""""
