kanji,reading,level,pos,meaning_en
順々,じゅんじゅん,N2,adv,"""in order"""
初旬,しょじゅん,N2,adv,"""first 10 days of the month"""
ずうっと,ずうっと,N2,adv,"""continuously"""
すっきり,すっきり,N2,adv,"""refreshingly"""
ずらり,ずらり,N2,adv-to,"""in a row"""
折角,せっかく,N2,adv,"""with trouble"""
せっせと,せっせと,N2,adv,"""diligently"""
せめて,せめて,N2,adv,"""at least"""
そうっと,そうっと,N2,adv,"""softly"""
続々,ぞくぞく,N2,adv,"""successively"""
大して,たいして,N2,adv,"""(not) very"""
大層,たいそう,N2,adv,"""very"""
大分,だいぶん,N2,adv,"""considerably"""
絶えず,たえず,N2,adv,"""constantly"""
大凡,おおよそ,N2,adv,"""about"""
お先に,おさきに,N2,adv,"""before"""
思い切り,おもいきり,N2,adv,"""to one's heart's content"""
思いっ切り,おもいっきり,N2,adv,"""to one's heart's content"""
却って,かえって,N2,adv,"""on the contrary"""
勝手に,かってに,N2,adv,"""arbitrarily"""
ぎっしり,ぎっしり,N2,adv,"""tightly (packed)"""
現に,げんに,N2,adv,"""actually"""
こっそり,こっそり,N2,adv,"""stealthily"""
再三,さいさん,N2,adv,"""again and again"""
流石,さすが,N2,adv,"""as one would expect"""
さっさと,さっさと,N2,adv,"""quickly"""
早速,さっそく,N2,adv,"""at once"""
始終,しじゅう,N2,adv,"""continuously"""
割合に,わりあいに,N2,adv,"""comparatively"""
割と,わりと,N2,adv,"""comparatively"""
飽くまで,あくまで,N2,adv,"""to the end"""
改めて,あらためて,N2,adv,"""another time"""
生き生き,いきいき,N2,adv,"""in a lively way"""
幾分,いくぶん,N2,adv,"""somewhat"""
一斉,いっせい,N2,adv,"""simultaneous"""
一旦,いったん,N2,adv,"""once"""
うろうろ,うろうろ,N2,adv,"""restlessly"""
うんと,うんと,N2,adv,"""a great deal"""
どうせ,どうせ,N2,adv,"""anyhow"""
どきどき,どきどき,N2,adv,"""thump-thump"""
所々,ところどころ,N2,adv,"""here and there"""
どっと,どっと,N2,adv,"""bursting out (laughter)"""
にこにこ,にこにこ,N2,adv,"""with a friendly grin"""
残らず,のこらず,N2,adv,"""all"""
のろのろ,のろのろ,N2,adv,"""slowly"""
はきはき,はきはき,N2,adv-to,"""briskly"""
果して,はたして,N2,adv,"""as was expected"""
比較的,ひかくてき,N2,adv,"""comparatively"""
ぴかぴか,ぴかぴか,N2,adv-to,"""with a glitter"""
ぴたり,ぴたり,N2,adv,"""tightly"""
広々,ひろびろ,N2,adv-to,"""extensive"""
ふわふわ,ふわふわ,N2,adv-to,"""lightly (floating"
平日,へいじつ,N2,adv,"""weekday"""
本来,ほんらい,N2,adv,"""originally"""
まごまご,まごまご,N2,adv,"""confused"""
間も無く,まもなく,N2,adv,"""soon"""
銘々,めいめい,N2,adv,"""each"""
めっきり,めっきり,N2,adv,"""remarkably"""
元々,もともと,N2,adv,"""originally"""
漸く,ようやく,N2,adv,"""finally"""
近々,ちかぢか,N2,adv,"""soon"""
着々,ちゃくちゃく,N2,adv,"""steadily"""
点々,てんてん,N2,adv,"""here and there"""
転々,てんてん,N2,adv,"""moving from place to place"""
