kanji,reading,level,pos,meaning_en
初～,しょ～,N2,unknown,""""""
諸～,しょ～,N2,unknown,""""""
～所,～しょ,N2,unknown,""""""
～所,～じょ,N2,unknown,""""""
女～,じょ～,N2,unknown,""""""
～女,～じょ,N2,unknown,""""""
省～,しょう～,N2,unknown,""""""
～省,～しょう,N2,unknown,""""""
～商,～しょう,N2,unknown,""""""
～勝,～しょう,N2,unknown,""""""
～条,～じょう,N2,unknown,""""""
～場,～じょう,N2,unknown,""""""
～畳,～じょう,N2,unknown,""""""
しょうがない,しょうがない,N2,unknown,""""""
～色,～しょく,N2,unknown,""""""
しわ (かおの～),しわ (かおの～),N2,unknown,""""""
～過ぎる,～すぎる,N2,unknown,""""""
すまない,すまない,N2,unknown,""""""
～済,～ずみ,N2,unknown,""""""
～席,～せき,N2,unknown,""""""
ぜひとも,ぜひとも,N2,unknown,""""""
～船,～せん,N2,unknown,""""""
～戦,～せん,N2,unknown,""""""
前～,ぜん～,N2,unknown,""""""
～前,～ぜん,N2,unknown,""""""
～沿い,～そい,N2,unknown,""""""
総～,そう～,N2,unknown,""""""
～艘,～そう,N2,unknown,""""""
そういえば,そういえば,N2,unknown,""""""
～足,～そく,N2,unknown,""""""
そのころ,そのころ,N2,unknown,""""""
そのため,そのため,N2,unknown,""""""
その他,そのほか,N2,exp,"""the rest"""
それなのに,それなのに,N2,conj,"""and yet"""
それなら,それなら,N2,unknown,""""""
それはいけませんね (かん),それはいけませんね (かん),N2,unknown,""""""
第～,だい～,N2,unknown,""""""
だいいち (とりわけ),だいいち (とりわけ),N2,unknown,""""""
ただいま,ただいま,N2,unknown,""""""
但し,ただし,N2,conj,"""but"""
たちまち,たちまち,N2,unknown,""""""
ためらう,ためらう,N2,unknown,""""""
～だらけ,～だらけ,N2,unknown,""""""
だらしない,だらしない,N2,unknown,""""""
短～,たん～,N2,unknown,""""""
～団,～だん,N2,unknown,""""""
おおざっぱ,おおざっぱ,N2,unknown,""""""
おかけください,おかけください,N2,unknown,""""""
おかげさまで,おかげさまで,N2,unknown,""""""
おかず,おかず,N2,unknown,""""""
おかまいなく,おかまいなく,N2,unknown,""""""
お気の毒に,おきのどくに,N2,exp,"""my sympathies"""
お元気で,おげんきで,N2,unknown,""""""
お邪魔します,おじゃまします,N2,exp,"""please excuse the intrusion"""
お世話になりました,おせわになりました,N2,unknown,""""""
お大事に,おだいじに,N2,exp,"""take care of yourself"""
お願いします,おねがいします,N2,exp,"""please"""
おはよう,おはよう,N2,unknown,""""""
お待たせしました,おまたせしました,N2,exp,"""thank you for waiting"""
お待ちください,おまちください,N2,unknown,""""""
おまちどおさま,おまちどおさま,N2,unknown,""""""
おめでたい,おめでたい,N2,unknown,""""""
おやつ,おやつ,N2,unknown,""""""
女の人,おんなのひと,N2,exp,"""woman"""
～日,～か,N2,unknown,""""""
～下,～か,N2,unknown,""""""
～化,～か,N2,unknown,""""""
～科,～か,N2,unknown,""""""
～歌,～か,N2,unknown,""""""
～画,～が,N2,unknown,""""""
外～,がい～,N2,unknown,""""""
～外,～がい,N2,unknown,""""""
各～,かく～,N2,unknown,""""""
かしこまりました,かしこまりました,N2,unknown,""""""
かじる,かじる,N2,unknown,""""""
～がち,～がち,N2,unknown,""""""
兼ねる,かねる,N2,suf,"""to be unable to"""
かび (～がはえる),かび (～がはえる),N2,unknown,""""""
構いません,かまいません,N2,exp,"""no problem"""
からかう,からかう,N2,unknown,""""""
かるた,かるた,N2,unknown,""""""
～刊,～かん,N2,unknown,""""""
～間,～かん,N2,unknown,""""""
～巻,～かん,N2,unknown,""""""
～館,～かん,N2,unknown,""""""
～感,～かん,N2,unknown,""""""
乾杯,かんぱい,N2,int,"""cheers"""
～期,～き,N2,unknown,""""""
～器,～き,N2,unknown,""""""
～機,～き,N2,unknown,""""""
きっかけ,きっかけ,N2,unknown,""""""
～気味,～ぎみ,N2,unknown,""""""
～教,～きょう,N2,unknown,""""""
～行,～ぎょう,N2,unknown,""""""
～業,～ぎょう,N2,unknown,""""""
共産～,きょうさん～,N2,unknown,""""""
～きる,～きる,N2,unknown,""""""
～切れ,～きれ,N2,unknown,""""""
