生ずる,しょうずる,N2,vz,"""to produce"""
信ずる,しんずる,N2,vz,"""to believe"""
透き通る,すきとおる,N2,v5r,"""to be transparent"""
涼む,すずむ,N2,v5m,"""to cool oneself"""
ずらす,ずらす,N2,v5s,"""to shift"""
背負う,せおう,N2,v5u,"""to carry on one's back"""
接する,せっする,N2,vs-s,"""to touch"""
迫る,せまる,N2,v5r,"""to approach"""
属する,ぞくする,N2,vs-s,"""to belong to"""
剃る,そる,N2,v5r,"""to shave"""
逸れる,それる,N2,v1,"""to turn away"""
存じる,ぞんじる,N2,v1,"""to know"""
存ずる,ぞんずる,N2,vz,"""to know"""
耕す,たがやす,N2,v5s,"""to till"""
蓄える,たくわえる,N2,v1,"""to store"""
立ち止まる,たちどまる,N2,v5r,"""to stop (in one's tracks)"""
例える,たとえる,N2,v1,"""to compare (something) to"""
足る,たる,N2,v5r,"""to be sufficient"""
拝む,おがむ,N2,v5m,"""to assume the posture of praying"""
補う,おぎなう,N2,v5u,"""to supplement"""
怠る,おこたる,N2,v5r,"""to neglect"""
落着く,おちつく,N2,v5k,"""to calm down"""
脅かす,おどかす,N2,v5s,"""to threaten"""
驚かす,おどろかす,N2,v5s,"""to surprise"""
思い込む,おもいこむ,N2,v5m,"""to be convinced (that)"""
係わる,かかわる,N2,v5r,"""to be involved (in)"""
固まる,かたまる,N2,v5r,"""to harden"""
傾く,かたむく,N2,v5k,"""to incline toward"""
片寄る,かたよる,N2,v5r,"""to lean (to one side)"""
担ぐ,かつぐ,N2,v5g,"""to shoulder"""
被せる,かぶせる,N2,v1,"""to cover (with something)"""
枯れる,かれる,N2,v1,"""to wither (of a plant)"""
可愛がる,かわいがる,N2,v5r,"""to be affectionate to"""
感ずる,かんずる,N2,vz,"""to feel"""
着替える,きがえる,N2,v1,"""to change (one's clothes)"""
刻む,きざむ,N2,v5m,"""to mince"""
着せる,きせる,N2,v1,"""to put clothes on (someone)"""
斬る,きる,N2,v5r,"""to kill (a human) using a blade (sword"
区切る,くぎる,N2,v5r,"""to divide"""
崩す,くずす,N2,v5s,"""to destroy"""
崩れる,くずれる,N2,v1,"""to collapse"""
砕く,くだく,N2,v5k,"""to break (into pieces)"""
砕ける,くだける,N2,v1,"""to break (into pieces)"""
配る,くばる,N2,v5r,"""to distribute"""
組み立てる,くみたてる,N2,v1,"""to assemble"""
悔やむ,くやむ,N2,v5m,"""to mourn"""
削る,けずる,N2,v5r,"""to shave (wood"
焦がす,こがす,N2,v5s,"""to burn"""
焦げる,こげる,N2,v1,"""to burn"""
凍える,こごえる,N2,v1,"""to freeze (of one's body)"""
心得る,こころえる,N2,v1,"""to know"""
腰掛ける,こしかける,N2,v1,"""to sit (down)"""
擦る,こする,N2,v5r,"""to rub"""
言付ける,ことづける,N2,v1,"""to have someone send (a message"
堪える,こらえる,N2,v1,"""to bear"""
転がす,ころがす,N2,v5s,"""to roll"""
転がる,ころがる,N2,v5r,"""to roll"""
捜す,さがす,N2,v5s,"""to search for"""
遡る,さかのぼる,N2,v5r,"""to go upstream"""
探る,さぐる,N2,v5r,"""to feel around for"""
囁く,ささやく,N2,v5k,"""to whisper"""
錆びる,さびる,N2,v1,"""to rust"""
妨げる,さまたげる,N2,v1,"""to disturb"""
仕上がる,しあがる,N2,v5r,"""to be finished"""
敷く,しく,N2,v5k,"""to spread out (e.g. a futon)"""
茂る,しげる,N2,v5r,"""to grow thickly"""
静まる,しずまる,N2,v5r,"""to become quiet"""
縛る,しばる,N2,v5r,"""to tie"""
絞る,しぼる,N2,v5r,"""to wring (towel"
締め切る,しめきる,N2,v5r,"""to close up"""
しゃがむ,しゃがむ,N2,v5m,"""to squat"""
しゃぶる,しゃぶる,N2,v5r,"""to suck"""
略す,りゃくす,N2,v5s,"""to abbreviate"""
論ずる,ろんずる,N2,vz,"""to discuss"""
詫びる,わびる,N2,v1,"""to apologize"""
扇ぐ,あおぐ,N2,v5g,"""to fan"""
呆れる,あきれる,N2,v1,"""to be amazed"""
憧れる,あこがれる,N2,v1,"""to long for"""
味わう,あじわう,N2,v5u,"""to taste"""
当てはまる,あてはまる,N2,v5r,"""to apply (of a rule)"""
当てはめる,あてはめる,N2,v1,"""to apply"""
暴れる,あばれる,N2,v1,"""to act violently"""
甘やかす,あまやかす,N2,v5s,"""to pamper"""
余る,あまる,N2,v5r,"""to remain"""
編む,あむ,N2,v5m,"""to knit"""
改める,あらためる,N2,v1,"""to change"""
荒れる,あれる,N2,v1,"""to become stormy"""
言い出す,いいだす,N2,v5s,"""to begin to say"""
言い付ける,いいつける,N2,v1,"""to tell (to do)"""
一定,いってい,N2,vs,"""to fix"""
威張る,いばる,N2,v5r,"""to put on airs"""
嫌がる,いやがる,N2,v5r,"""to appear uncomfortable (with)"""
煎る,いる,N2,v5r,"""to roast"""
炒る,いる,N2,v5r,"""to roast"""
飢える,うえる,N2,v1,"""to starve"""
浮ぶ,うかぶ,N2,v5b,"""to float"""
浮かべる,うかべる,N2,v1,"""to float"""
浮く,うく,N2,v5k,"""to float"""
承る,うけたまわる,N2,v5r,"""to hear"""
受け持つ,うけもつ,N2,v5t,"""to take (be in) charge of"""
薄める,うすめる,N2,v1,"""to dilute"""
打ち消す,うちけす,N2,v5s,"""to deny"""
敬う,うやまう,N2,v5u,"""to show respect for"""
裏返す,うらがえす,N2,v5s,"""to turn inside out"""
占う,うらなう,N2,v5u,"""to tell someone's fortune"""
恨む,うらむ,N2,v5m,"""to bear a grudge against"""
羨む,うらやむ,N2,v5m,"""to envy"""
売り切れる,うりきれる,N2,v1,"""to be sold out"""
追いかける,おいかける,N2,v1,"""to chase"""
追い越す,おいこす,N2,v5s,"""to pass (e.g. car)"""
応ずる,おうずる,N2,vz,"""to answer"""
通り掛かる,とおりかかる,N2,v5r,"""to happen to pass by"""
溶かす,とかす,N2,v5s,"""to dissolve"""
尖る,とがる,N2,v5r,"""to taper to a point"""
溶け込む,とけこむ,N2,v5m,"""to melt into"""
退ける,どける,N2,v1,"""to put something out of the way"""
整う,ととのう,N2,v5u,"""to be ready"""
留まる,とどまる,N2,v5r,"""to remain"""
怒鳴る,どなる,N2,v5r,"""to shout (in anger)"""
飛び込む,とびこむ,N2,v5m,"""to jump in"""
留まる,とまる,N2,v5r,"""to stop (moving)"""
捕える,とらえる,N2,v1,"""to catch"""
取り入れる,とりいれる,N2,v1,"""to take in"""
取り消す,とりけす,N2,v5s,"""to cancel"""
取り出す,とりだす,N2,v5s,"""to take out"""
採る,とる,N2,v5r,"""to adopt (a method"
捕る,とる,N2,v5r,"""to catch (a wild animal"
長引く,ながびく,N2,v5k,"""to be prolonged"""
慰める,なぐさめる,N2,v1,"""to comfort"""
為す,なす,N2,v5s,"""to do"""
撫でる,なでる,N2,v1,"""to stroke"""
倣う,ならう,N2,v5u,"""to imitate"""
匂う,におう,N2,v5u,"""to be fragrant"""
逃がす,にがす,N2,v5s,"""to set free"""
憎む,にくむ,N2,v5m,"""to hate"""
濁る,にごる,N2,v5r,"""to become muddy"""
睨む,にらむ,N2,v5m,"""to glare at"""
縫う,ぬう,N2,v5u,"""to sew"""
捩る,ねじる,N2,v5r,"""to twist"""
熱する,ねっする,N2,vs-s,"""to heat"""
狙う,ねらう,N2,v5u,"""to aim at (with a weapon"
這う,はう,N2,v5u,"""to crawl"""
剥す,はがす,N2,v5s,"""to tear off"""
挟まる,はさまる,N2,v5r,"""to get between"""
挟む,はさむ,N2,v5m,"""to hold between (e.g. one's fingers"
話し掛ける,はなしかける,N2,v1,"""to address (someone)"""
跳ねる,はねる,N2,v1,"""to jump"""
払い込む,はらいこむ,N2,v5m,"""to deposit"""
払い戻す,はらいもどす,N2,v5s,"""to repay"""
張り切る,はりきる,N2,v5r,"""to be in high spirits"""
引受る,ひきうける,N2,v1,"""to take on"""
引き返す,ひきかえす,N2,v5s,"""to turn back"""
引き出す,ひきだす,N2,v5s,"""to pull out"""
引き止める,ひきとめる,N2,v1,"""to detain"""
引っ掛かる,ひっかかる,N2,v5r,"""to be caught in"""
引っ繰り返す,ひっくりかえす,N2,v5s,"""to turn over"""
引っ繰り返る,ひっくりかえる,N2,v5r,"""to be overturned"""
引っ込む,ひっこむ,N2,v5m,"""to draw back"""
捻る,ひねる,N2,v5r,"""to twist"""
響く,ひびく,N2,v5k,"""to resound"""
膨らます,ふくらます,N2,v5s,"""to swell"""
膨らむ,ふくらむ,N2,v5m,"""to expand"""
更ける,ふける,N2,v1,"""to get late"""
塞がる,ふさがる,N2,v5r,"""to be closed"""
塞ぐ,ふさぐ,N2,v5g,"""to stop up"""
振り向く,ふりむく,N2,v5k,"""to turn one's face"""
振舞う,ふるまう,N2,v5u,"""to behave"""
凹む,へこむ,N2,v5m,"""to be dented"""
隔てる,へだてる,N2,v1,"""to separate (by distance"
放る,ほうる,N2,v5r,"""to throw"""
干す,ほす,N2,v5s,"""to air"""
解く,ほどく,N2,v5k,"""to undo"""
掘る,ほる,N2,v5r,"""to dig"""
彫る,ほる,N2,v5r,"""to carve"""
曲げる,まげる,N2,v1,"""to bend"""
待ち合わせる,まちあわせる,N2,v1,"""to rendezvous"""
祭る,まつる,N2,v5r,"""to deify"""
真似る,まねる,N2,v1,"""to mimic"""
見上げる,みあげる,N2,v1,"""to look up at"""
見送る,みおくる,N2,v5r,"""to see (someone) off"""
見下ろす,みおろす,N2,v5s,"""to overlook"""
見詰める,みつめる,N2,v1,"""to stare (at)"""
見直す,みなおす,N2,v5s,"""to look at again"""
見慣れる,みなれる,N2,v1,"""to get used to seeing"""
実る,みのる,N2,v5r,"""to bear fruit"""
見舞う,みまう,N2,v5u,"""to visit and comfort or console"""
命ずる,めいずる,N2,vz,"""to order"""
恵まれる,めぐまれる,N2,v1,"""to be blessed with"""
巡る,めぐる,N2,v5r,"""to go around"""
目指す,めざす,N2,v5s,"""to aim at (for"
目立つ,めだつ,N2,v5t,"""to be conspicuous"""
儲かる,もうかる,N2,v5r,"""to be profitable"""
儲ける,もうける,N2,v1,"""to profit"""
潜る,もぐる,N2,v5r,"""to dive (into or under water)"""
物語る,ものがたる,N2,v5r,"""to tell (a story)"""
揉む,もむ,N2,v5m,"""to rub"""
盛る,もる,N2,v5r,"""to serve (in a bowl"
破く,やぶく,N2,v5k,"""to tear"""
呼び掛ける,よびかける,N2,v1,"""to call out to"""
呼び出す,よびだす,N2,v5s,"""to call (someone) to (the door"
蘇る,よみがえる,N2,v5r,"""to be resurrected"""
慶ぶ,よろこぶ,N2,v5b,"""to be delighted"""
誓う,ちかう,N2,v5u,"""to swear"""
近付ける,ちかづける,N2,v1,"""to bring near"""
近寄る,ちかよる,N2,v5r,"""to approach"""
縮む,ちぢむ,N2,v5m,"""to shrink"""
縮める,ちぢめる,N2,v1,"""to shorten"""
縮れる,ちぢれる,N2,v1,"""to be wavy"""
散らかす,ちらかす,N2,v5s,"""to scatter around"""
散らかる,ちらかる,N2,v5r,"""to be in disorder"""
通ずる,つうずる,N2,vz,"""to be open (to traffic)"""
突き当たる,つきあたる,N2,v5r,"""to run into"""
突っ込む,つっこむ,N2,v5m,"""to thrust (something) into (something)"""
務める,つとめる,N2,v1,"""to work (for)"""
努める,つとめる,N2,v1,"""to endeavor (to do)"""
潰す,つぶす,N2,v5s,"""to smash"""
潰れる,つぶれる,N2,v1,"""to be crushed"""
詰まる,つまる,N2,v5r,"""to be packed (with)"""
釣り合う,つりあう,N2,v5u,"""to balance"""
吊る,つる,N2,v5r,"""to hang"""
吊す,つるす,N2,v5s,"""to hang"""
出来上がる,できあがる,N2,v5r,"""to be completed"""
照らす,てらす,N2,v5s,"""to shine on"""
照る,てる,N2,v5r,"""to shine"""
