kanji,reading,level,pos,meaning_en
冷ます,さます,N3,v5s,"""to cool (e.g. from a high temperature to room temperature)"""
覚ます,さます,N3,v5s,"""to awaken"""
冷める,さめる,N3,v1,"""to cool down"""
覚める,さめる,N3,v1,"""to wake"""
去る,さる,N3,v5r,"""to leave"""
沈む,しずむ,N3,v5m,"""to sink"""
従う,したがう,N3,v5u,"""to obey (an order"
しばしば,しばしば,N3,vs,"""(blinking) repeatedly"""
支払う,しはらう,N3,v5u,"""to pay"""
示す,しめす,N3,v5s,"""to (take out and) show"""
占める,しめる,N3,v1,"""to occupy"""
湿る,しめる,N3,v5r,"""to become damp"""
生じる,しょうじる,N3,v1,"""to produce"""
信じる,しんじる,N3,v1,"""to believe"""
救う,すくう,N3,v5u,"""to rescue from"""
優れる,すぐれる,N3,v1,"""to be better (than)"""
過ごす,すごす,N3,v5s,"""to spend (time)"""
進める,すすめる,N3,v1,"""to advance"""
勧める,すすめる,N3,v1,"""to recommend (someone to do)"""
済ませる,すませる,N3,v1,"""to finish"""
澄む,すむ,N3,v5m,"""to become clear (water"
清む,すむ,N3,v5m,"""to become clear (water"
刷る,する,N3,v5r,"""to print"""
為る,する,N3,vs-i,"""to do"""
すれ違う,すれちがう,N3,v5u,"""to pass (by) each other"""
ずれる,ずれる,N3,v1,"""to slide"""
愛する,あいする,N3,vs-s,"""to love"""
遭う,あう,N3,v5u,"""to meet"""
諦める,あきらめる,N3,v1,"""to give up"""
飽きる,あきる,N3,v1,"""to get tired of"""
明ける,あける,N3,v1,"""to open (a door"
揚げる,あげる,N3,v1,"""to deep-fry"""
挙げる,あげる,N3,v1,"""to give (an example)"""
預かる,あずかる,N3,v5r,"""to look after"""
預ける,あずける,N3,v1,"""to leave (in someone's keeping)"""
与える,あたえる,N3,v1,"""to give (esp. to someone of lower status)"""
暖まる,あたたまる,N3,v5r,"""to warm oneself"""
温まる,あたたまる,N3,v5r,"""to warm oneself"""
暖める,あたためる,N3,v1,"""to warm (up)"""
温める,あたためる,N3,v1,"""to warm (up)"""
当たる,あたる,N3,v5r,"""to be hit"""
扱う,あつかう,N3,v5u,"""to deal with (a person)"""
当てる,あてる,N3,v1,"""to hit"""
争う,あらそう,N3,v5u,"""to compete"""
表す,あらわす,N3,v5s,"""to represent"""
現す,あらわす,N3,v5s,"""to represent"""
著す,あらわす,N3,v5s,"""to write"""
現れる,あらわれる,N3,v1,"""to appear"""
合わせる,あわせる,N3,v1,"""to match (rhythm"
慌てる,あわてる,N3,v1,"""to become confused (disconcerted"
抱く,いだく,N3,v5k,"""to hold in one's arms (e.g. a baby)"""
至る,いたる,N3,v5r,"""to arrive at (e.g. a decision)"""
祝う,いわう,N3,v5u,"""to celebrate"""
受け取る,うけとる,N3,v5r,"""to receive"""
動かす,うごかす,N3,v5s,"""to move"""
失う,うしなう,N3,v5u,"""to lose"""
疑う,うたがう,N3,v5u,"""to doubt"""
討つ,うつ,N3,v5t,"""to attack"""
撃つ,うつ,N3,v5t,"""to shoot (a gun"
映す,うつす,N3,v5s,"""to project"""
訴える,うったえる,N3,v1,"""to raise"""
写る,うつる,N3,v5r,"""to be photographed"""
映る,うつる,N3,v5r,"""to be reflected"""
奪う,うばう,N3,v5u,"""to take (by force)"""
埋める,うめる,N3,v1,"""to bury (e.g. in the ground)"""
裏切る,うらぎる,N3,v5r,"""to betray"""
売れる,うれる,N3,v1,"""to sell (well)"""
描く,えがく,N3,v5k,"""to draw"""
得る,える,N3,v1,"""to get"""
得る,うる,N3,v2a-s,"""to be able to ..."""
追い付く,おいつく,N3,v5k,"""to catch up (with)"""
追う,おう,N3,v5u,"""to chase"""
応じる,おうじる,N3,v1,"""to respond"""
終える,おえる,N3,v1,"""to finish"""
覆う,おおう,N3,v5u,"""to cover"""
贈る,おくる,N3,v5r,"""to give (as a gift)"""
起こる,おこる,N3,v5r,"""to occur"""
押える,おさえる,N3,v1,"""to pin down"""
収める,おさめる,N3,v1,"""to put (into)"""
納める,おさめる,N3,v1,"""to put (into)"""
治める,おさめる,N3,v1,"""to rule"""
恐れる,おそれる,N3,v1,"""to fear"""
教わる,おそわる,N3,v5r,"""to be taught"""
劣る,おとる,N3,v5r,"""to be inferior to"""
溺れる,おぼれる,N3,v1,"""to struggle in the water"""
思い付く,おもいつく,N3,v5k,"""to think of"""
及ぼす,およぼす,N3,v5s,"""to exert (influence)"""
下す,おろす,N3,v5s,"""to take down"""
降ろす,おろす,N3,v5s,"""to take down"""
卸す,おろす,N3,v5s,"""to sell wholesale"""
飼う,かう,N3,v5u,"""to keep (a pet or other animal)"""
帰す,かえす,N3,v5s,"""to send (someone) back"""
代える,かえる,N3,v1,"""to replace"""
替える,かえる,N3,v1,"""to replace"""
換える,かえる,N3,v1,"""to replace"""
反る,かえる,N3,v5r,"""to return"""
抱える,かかえる,N3,v1,"""to hold in one's arms"""
輝く,かがやく,N3,v5k,"""to shine"""
罹る,かかる,N3,v5r,"""to contract (a disease)"""
限る,かぎる,N3,v5r,"""to restrict"""
掻く,かく,N3,v5k,"""to scratch"""
描く,かく,N3,v5k,"""to draw"""
嗅ぐ,かぐ,N3,v5g,"""to sniff"""
隠す,かくす,N3,v5s,"""to hide"""
隠れる,かくれる,N3,v1,"""to hide"""
欠ける,かける,N3,v1,"""to chip"""
囲む,かこむ,N3,v5m,"""to surround"""
重なる,かさなる,N3,v5r,"""to be piled up"""
重ねる,かさねる,N3,v1,"""to pile up"""
稼ぐ,かせぐ,N3,v5g,"""to earn (income)"""
数える,かぞえる,N3,v1,"""to count"""
片付く,かたづく,N3,v5k,"""to be put in order"""
語る,かたる,N3,v5r,"""to talk about"""
がっかり,がっかり,N3,vs,"""to be disappointed"""
悲しむ,かなしむ,N3,v5m,"""to be sad"""
被る,かぶる,N3,v5r,"""to put on (one's head)"""
刈る,かる,N3,v5r,"""to cut (grass"
乾かす,かわかす,N3,v5s,"""to dry (clothes"
渇く,かわく,N3,v5k,"""to be thirsty"""
代る,かわる,N3,v5r,"""to succeed"""
感じる,かんじる,N3,v1,"""to feel"""
関する,かんする,N3,vs-s,"""to concern"""
効く,きく,N3,v5k,"""to be effective"""
気付く,きづく,N3,v5k,"""to notice"""
嫌う,きらう,N3,v5u,"""to hate"""
切れる,きれる,N3,v1,"""to break"""
食う,くう,N3,v5u,"""to eat"""
腐る,くさる,N3,v5r,"""to rot"""
下る,くだる,N3,v5r,"""to descend"""
組む,くむ,N3,v5m,"""to cross (legs or arms)"""
汲む,くむ,N3,v5m,"""to draw (water)"""
酌む,くむ,N3,v5m,"""to pour (sake)"""
暮らす,くらす,N3,v5s,"""to live"""
繰り返す,くりかえす,N3,v5s,"""to repeat"""
狂う,くるう,N3,v5u,"""to go mad"""
苦しむ,くるしむ,N3,v5m,"""to suffer"""
加える,くわえる,N3,v1,"""to add"""
咥える,くわえる,N3,v1,"""to hold in one's mouth"""
加わる,くわわる,N3,v5r,"""to be added to"""
蹴る,ける,N3,v5r,"""to kick"""
越える,こえる,N3,v1,"""to cross over"""
超える,こえる,N3,v1,"""to cross over"""
凍る,こおる,N3,v5r,"""to freeze"""
越す,こす,N3,v5s,"""to cross over (e.g. mountain)"""
超す,こす,N3,v5s,"""to cross over (e.g. mountain)"""
異なる,ことなる,N3,v5r,"""to differ"""
断る,ことわる,N3,v5r,"""to refuse"""
好む,このむ,N3,v5m,"""to like"""
殺す,ころす,N3,v5s,"""to kill"""
転ぶ,ころぶ,N3,v5b,"""to fall down"""
逆らう,さからう,N3,v5u,"""to go against"""
裂く,さく,N3,v5k,"""to tear"""
叫ぶ,さけぶ,N3,v5b,"""to shout"""
避ける,さける,N3,v1,"""to avoid (physical contact with)"""
支える,ささえる,N3,v1,"""to support"""
刺さる,ささる,N3,v5r,"""to stick into (of something with a sharp point)"""
刺す,さす,N3,v5s,"""to pierce"""
指す,さす,N3,v5s,"""to point"""
挿す,さす,N3,v5s,"""to insert"""
注す,さす,N3,v5s,"""to pour"""
射す,さす,N3,v5s,"""to shine"""
誘う,さそう,N3,v5u,"""to invite"""
守る,まもる,N3,v5r,"""to protect"""
迷う,まよう,N3,v5u,"""to lose one's way"""
満ちる,みちる,N3,v1,"""to fill"""
認める,みとめる,N3,v1,"""to recognize"""
診る,みる,N3,v1,"""to examine (medically)"""
向く,むく,N3,v5k,"""to turn toward"""
剥く,むく,N3,v5k,"""to peel"""
向ける,むける,N3,v1,"""to turn (towards)"""
蒸す,むす,N3,v5s,"""to steam (food"
結ぶ,むすぶ,N3,v5b,"""to tie"""
命じる,めいじる,N3,v1,"""to order"""
申し込む,もうしこむ,N3,v5m,"""to apply for"""
燃える,もえる,N3,v1,"""to burn"""
持ち上げる,もちあげる,N3,v1,"""to elevate"""
用いる,もちいる,N3,v1,"""to use"""
戻す,もどす,N3,v5s,"""to put back"""
基づく,もとづく,N3,v5k,"""to be based (on)"""
求める,もとめる,N3,v1,"""to want"""
燃やす,もやす,N3,v5s,"""to burn"""
訳す,やくす,N3,v5s,"""to translate"""
雇う,やとう,N3,v5u,"""to employ"""
破る,やぶる,N3,v5r,"""to tear"""
破れる,やぶれる,N3,v1,"""to get torn"""
辞める,やめる,N3,v1,"""to resign"""
譲る,ゆずる,N3,v5r,"""to hand over"""
茹でる,ゆでる,N3,v1,"""to boil (something in hot water)"""
許す,ゆるす,N3,v5s,"""to permit"""
酔う,よう,N3,v5u,"""to get drunk"""
横切る,よこぎる,N3,v5r,"""to cross (e.g. road)"""
汚す,よごす,N3,v5s,"""to pollute"""
止す,よす,N3,v5s,"""to stop (doing)"""
寄せる,よせる,N3,v1,"""to come near"""
因る,よる,N3,v5r,"""to be due to"""
論じる,ろんじる,N3,v1,"""to discuss"""
分かれる,わかれる,N3,v1,"""to branch"""
湧く,わく,N3,v5k,"""to well (up)"""
分ける,わける,N3,v1,"""to divide (into)"""
割る,わる,N3,v5r,"""to divide"""
宛てる,あてる,N3,v1,"""to address"""
傷める,いためる,N3,v1,"""to hurt"""
炒める,いためる,N3,v1,"""to fry"""
埋まる,うまる,N3,v5r,"""to be buried"""
産む,うむ,N3,v5m,"""to give birth"""
負う,おう,N3,v5u,"""to carry on one's back"""
織る,おる,N3,v5r,"""to weave"""
欠く,かく,N3,v5k,"""to chip"""
駆ける,かける,N3,v1,"""to run"""
賭ける,かける,N3,v1,"""to wager"""
築く,きずく,N3,v5k,"""to build"""
攻める,せめる,N3,v1,"""to attack"""
責める,せめる,N3,v1,"""to condemn"""
注ぐ,そそぐ,N3,v5g,"""to pour (into)"""
育つ,そだつ,N3,v5t,"""to be raised (e.g. child)"""
備える,そなえる,N3,v1,"""to furnish with"""
具える,そなえる,N3,v1,"""to furnish with"""
揃う,そろう,N3,v5u,"""to be complete"""
