kanji,reading,level,pos,meaning_en
苦い,にがい,N4,adj-i,"""bitter"""
柔らかい,やわらかい,N4,adj-i,"""soft"""
厳しい,きびしい,N4,adj-i,"""severe"""
深い,ふかい,N4,adj-i,"""deep"""
悲しい,かなしい,N4,adj-i,"""sad"""
浅い,あさい,N4,adj-i,"""shallow"""
怖い,こわい,N4,adj-i,"""scary"""
恥ずかしい,はずかしい,N4,adj-i,"""embarrassing"""
美しい,うつくしい,N4,adj-i,"""beautiful"""
素晴らしい,すばらしい,N4,adj-i,"""wonderful"""
細かい,こまかい,N4,adj-i,"""small"""
珍しい,めずらしい,N4,adj-i,"""rare"""
寂しい,さびしい,N4,adj-i,"""lonely"""
凄い,すごい,N4,adj-i,"""terrible"""
正しい,ただしい,N4,adj-i,"""right"""
眠い,ねむい,N4,adj-i,"""sleepy"""
優しい,やさしい,N4,adj-i,"""tender"""
