kanji,reading,level,pos,meaning_en
大抵,たいてい,N4,adj-na,"""mostly"""
複雑,ふくざつ,N4,adj-na,"""complex"""
大事,だいじ,N4,adj-na,"""important"""
必要,ひつよう,N4,adj-na,"""necessary"""
盛ん,さかん,N4,adj-na,"""prosperous"""
残念,ざんねん,N4,adj-na,"""regrettable"""
丁寧,ていねい,N4,adj-na,"""polite"""
無理,むり,N4,adj-na,"""unreasonable"""
適当,てきとう,N4,adj-na,"""suitable"""
親切,しんせつ,N4,adj-na,"""kind"""
熱心,ねっしん,N4,adj-na,"""zealous"""
変,へん,N4,adj-na,"""strange"""
確か,たしか,N4,adj-na,"""sure"""
真面目,まじめ,N4,adj-na,"""serious"""
国際,こくさい,N4,adj-no,"""international"""
十分,じゅうぶん,N4,adj-na,"""enough"""
普通,ふつう,N4,adj-no,"""normal"""
久しぶり,ひさしぶり,N4,adj-no,"""a long time (since the last time)"""
最初,さいしょ,N4,adj-no,"""beginning"""
簡単,かんたん,N4,adj-na,"""simple"""
特別,とくべつ,N4,adj-na,"""special"""
急,きゅう,N4,adj-na,"""sudden"""
ソフト,ソフト,N4,adj-na,"""soft"""
